ID,Name,Lat,Long
1,91-95 Washington Street,42.3445516,-71.1437540
2,Alice Taylor,42.3357487,-71.0915206
3,Annapolis,42.3178487,-71.0617606
4,Archdale,42.2923487,-71.1194906
5,Ashmont,42.2878787,-71.0576806
6,Ausonia,42.3632087,-71.0520106
7,Basilica,42.3776786,-71.0505466
8,Bellflower,42.3243258,-71.0584261
9,Charlestown,42.3773652,-71.0571624
10,Codman,42.2842862,-71.0708824
11,Commonwealth,42.3466487,-71.1446606
12,Davison,42.2586138,-71.1163823
13,Eva White,42.3462687,-71.0689106
14,Fairmont,42.2447052,-71.1172922
15,Faneuil Gardens,42.3567287,-71.1521606
16,Foley,42.3308687,-71.0417706
17,Franklin Field,42.2895738,-71.0838881
18,Franklin Hill,42.2945378,-71.0890314
19,Frederick Douglass,42.3401970,-71.0794154
20,Gallivan Boulevard,42.2759311,-71.0802033
21,General Warren,42.3733887,-71.0652506
22,Groveland,42.2727406,-71.0794625
23,Hampton House,42.3367543,-71.0782002
24,Hassan,42.2645367,-71.1025862
25,Highland Park,42.3289180,-71.0930651
26,Holgate,42.3080687,-71.0890206
27,JJ Carroll,42.3425345,-71.1525856
28,JJ Meade,42.2935287,-71.0701506
29,Lower Mills,42.2730494,-71.0671937
30,Malone,42.2560087,-71.1254606
31,Mary Ellen McCormack,42.3266568,-71.0562213
32,Maverick Landing,42.3708272,-71.0418687
33,Mildred C. Hailey,42.3249087,-71.1013606
34,Mission Main,42.3339529,-71.0988009
35,MLK,42.3208213,-71.0833850
36,Msgr Powers,42.3335401,-71.0349662
37,Old Colony,42.3315997,-71.0507819
38,Orchard Gardens,42.3297068,-71.0776763
39,Orient Heights,42.3925238,-71.0083741
40,Pasciucco,42.3085304,-71.0651266
41,Peabody/Englewood,42.2870387,-71.0642006
42,Pond Street,42.3151748,-71.1152914
43,Rockland,42.2582808,-71.1598703
44,Roslyn,42.2775552,-71.1207875
45,Ruth Barkley,42.3400918,-71.0711912
46,Rutland/East Springfield,42.3407487,-71.0761206
47,South Street,42.3047987,-71.1152706
48,Spring Street,42.2782659,-71.1615262
49,St Botolph,42.3455387,-71.0797406
50,Torre Unidad,42.3417563,-71.0732038
51,Walnut Park,42.3154878,-71.0970953
52,Washington Beech,42.2778446,-71.1369722
53,Washington Manor,42.3374487,-71.0762106
54,Washington Street,42.3445516,-71.1437540
55,West 9th Street,42.3329644,-71.0530173
56,West Broadway,42.3378227,-71.0550093
57,West Broadway Homes,42.3392647,-71.0537605
58,West Newton,42.3407487,-71.0761206
59,Whittier Street,42.3345587,-71.0886206
,,,
,,,
,,,
,,,
,,,
